"ID","X","Y","City","Date Collected","Nightly Price","Monthly Price","Neighborhood","Room Type","Street","Units","URL","User URL"
"air3093522",-90.037589784892,29.961762786505,"New Orleans","2015-09-01T06:15:01.536Z",99,2772,"MarignyBywater","Entire home/apt","Dauphine Street",1,"http://airbnb.com/rooms/3093522","http://airbnb.com/users/show/8259445"
"air1959784",-90.069906827064,29.939925177738,"New Orleans","2015-09-01T06:15:01.536Z",140,3920,"Lower Garden District","Entire home/apt","Magazine Street",1,"http://airbnb.com/rooms/1959784","http://airbnb.com/users/show/10127307"
"air446318",-90.074519581362,29.942730863568,"New Orleans","2015-09-01T06:15:01.536Z",95,1200,"Lower Garden District","Private room","Margaret Place",1,"http://airbnb.com/rooms/446318","http://airbnb.com/users/show/2216366"
"air2137908",-90.071530603251,29.935711672829,"New Orleans","2015-09-01T06:15:01.536Z",95,2300,"","Entire home/apt","Camp St",1,"http://airbnb.com/rooms/2137908","http://airbnb.com/users/show/4250765"
"air945787",-90.066765179089,29.938735828541,"New Orleans","2015-09-01T06:15:01.536Z",125,3500,"Lower Garden District","Private room","Annunciation Street",1,"http://airbnb.com/rooms/945787","http://airbnb.com/users/show/4981655"
"air3458642",-90.069991286611,29.935023435213,"New Orleans","2015-08-11T16:30:25.494Z",80,1680,"Lower Garden District","Private room","Annunciation Street",1,"http://airbnb.com/rooms/3458642","http://airbnb.com/users/show/17431443"
"air1665262",-90.072613649499,29.924424686192,"New Orleans","2015-09-01T06:15:01.536Z",300,2800,"Lower Garden District","Entire home/apt","Philip Street",1,"http://airbnb.com/rooms/1665262","http://airbnb.com/users/show/4844670"
"air875514",-90.051592939437,29.976788595497,"New Orleans","2015-09-01T06:15:01.536Z",49,1372,"St ClaudeSt Roch","Private room","Saint Roch Avenue",1,"http://airbnb.com/rooms/875514","http://airbnb.com/users/show/4622620"
"air915167",-90.070548521796,29.982449641695,"New Orleans","2015-08-11T16:30:25.494Z",150,4200,"Seventh Ward","Entire home/apt","North Dorgenois Street",1,"http://airbnb.com/rooms/915167","http://airbnb.com/users/show/1924812"
"air2238070",-90.086463210165,29.977518893234,"New Orleans","2015-09-01T06:15:01.536Z",195,5460,"Bayou St John","Entire home/apt","Saint Philip Street",1,"http://airbnb.com/rooms/2238070","http://airbnb.com/users/show/7783487"
